Row Labels,STATE_ABBREVIATION,STUDYYEAR,Average of MCBTO5,Average of MC6TO11,Average of MC12TO17,Average of MC18TO23,Average of MC24TO29,Average of MC30TO35,Average of MC36TO41,Average of MC42TO47,Average of MC48TO53,Average of MC54TOSA,Average of MCSA
Michigan,MI,2012,140.9604819,140.9604819,140.9604819,140.9604819,140.9604819,135.8296386,131.5625301,131.5625301,131.5625301,131.5625301,128.1416867
Michigan,MI,2013,145.369759,145.369759,145.369759,145.369759,145.369759,135.1080723,135.1080723,135.1080723,135.1080723,135.1080723,128.2671084
Michigan,MI,2014,148.4222892,148.4222892,148.4222892,148.4222892,148.4222892,143.2918072,131.0714458,131.0714458,131.0714458,131.0714458,133.0514458
Michigan,MI,2015,151.4757831,151.4757831,151.4757831,151.4757831,151.4757831,151.4757831,127.0350602,127.0350602,127.0350602,127.0350602,137.8343373
Michigan,MI,2016,157.3906024,157.3906024,157.3906024,157.3906024,157.3906024,150.3391566,134.0455422,134.0455422,134.0455422,134.0455422,136.5449398
Michigan,MI,2017,163.3049398,163.3049398,163.3049398,163.3049398,163.3049398,149.2033735,141.0560241,141.0560241,141.0560241,141.0560241,135.2554217
Michigan,MI,2018,169.2192771,169.2192771,169.2192771,169.2192771,169.2192771,148.0666265,148.0666265,148.0666265,148.0666265,148.0666265,133.9656627
Minnesota,MN,2008,179.5181609,179.5181609,179.5181609,179.5181609,161.8275862,161.8275862,142.7990805,142.7990805,142.7990805,142.7990805,126.8264368
Minnesota,MN,2009,176.1963218,176.1963218,176.1963218,176.1963218,158.0344828,158.0344828,144.6257471,144.6257471,144.6257471,144.6257471,127.3964368
Minnesota,MN,2010,163.5977011,163.5977011,163.5977011,163.5977011,148.6149425,148.6149425,142.4712644,142.4712644,142.4712644,142.4712644,129.3333333
Minnesota,MN,2011,178.2068966,178.2068966,178.2068966,178.2068966,162.6695402,162.6695402,148.3908046,148.3908046,148.3908046,148.3908046,134.2873563
Minnesota,MN,2012,171.6781609,171.6781609,171.6781609,171.6781609,157.8735632,157.8735632,144.2241379,144.2241379,144.2241379,144.2241379,126.0344828
Minnesota,MN,2013,172.1860465,172.1860465,172.1860465,172.1860465,158.4244186,158.4244186,146.7412791,146.7412791,146.7412791,146.7412791,129.505814
Minnesota,MN,2014,172.6744186,172.6744186,172.6744186,172.6744186,159,159,149.2674419,149.2674419,149.2674419,149.2674419,132.9651163
Minnesota,MN,2015,182.25,182.25,182.25,182.25,167.3255814,167.3255814,153.0406977,153.0406977,153.0406977,153.0406977,133.2674419
Minnesota,MN,2016,191.8255814,191.8255814,191.8255814,191.8255814,175.6511628,175.6511628,156.8139535,156.8139535,156.8139535,156.8139535,133.5697674
Minnesota,MN,2017,198.0348837,198.0348837,198.0348837,198.0348837,179.4302326,179.4302326,164.6627907,164.6627907,164.6627907,164.6627907,142.4127907
Minnesota,MN,2018,203.908046,203.908046,203.908046,203.908046,182.908046,182.908046,172.2643678,172.2643678,172.2643678,172.2643678,151.2068966
Mississippi,MS,2008,,,,,,,,,,,
Mississippi,MS,2009,,,,,,,,,,,
Mississippi,MS,2010,62.07829268,62.07829268,62.74829268,62.74829268,57.36621951,57.36621951,57.36621951,57.36621951,57.36621951,57.36621951,50.17097561
Mississippi,MS,2011,71.76121951,71.76121951,68.17243902,68.17243902,64.58597561,64.58597561,64.58597561,64.58597561,64.58597561,64.58597561,57.40890244
Mississippi,MS,2012,82.61402439,82.61402439,73.59853659,73.59853659,71.8045122,71.8045122,71.8045122,71.8045122,71.8045122,71.8045122,64.64695122
Mississippi,MS,2013,93.46707317,93.46707317,79.02402439,79.02402439,79.02402439,79.02402439,79.02402439,79.02402439,79.02402439,79.02402439,71.88414634
Mississippi,MS,2014,88.67512195,88.67512195,76.40926829,76.40926829,76.40926829,76.40926829,76.40926829,76.40926829,76.40926829,76.40926829,70.33256098
Mississippi,MS,2015,83.88414634,83.88414634,73.79658537,73.79658537,73.79658537,73.79658537,73.79658537,73.79658537,73.79658537,73.79658537,68.78073171
Mississippi,MS,2016,79.09268293,79.09268293,71.18304878,71.18304878,71.18304878,71.18304878,71.18304878,71.18304878,71.18304878,71.18304878,67.22756098
Mississippi,MS,2017,74.30121951,74.30121951,68.5697561,68.5697561,68.5697561,68.5697561,68.5697561,68.5697561,68.5697561,68.5697561,65.67609756
Mississippi,MS,2018,70.0647561,70.0647561,65.95670732,65.95670732,65.95670732,65.95670732,65.95670732,65.95670732,65.95670732,65.95670732,64.12426829
Missouri,MO,2008,,,,,,,,,,,
Missouri,MO,2009,,,,,,,,,,,
Missouri,MO,2010,,,,,,,,,,,
Missouri,MO,2011,,,,,,,,,,,
Missouri,MO,2012,,,,,,,,,,,
Missouri,MO,2013,,,,,,,,,,,
Missouri,MO,2014,,,,,,,,,,,
Missouri,MO,2015,130.2314286,130.2314286,130.2314286,130.2314286,112.5457143,112.5457143,112.5457143,112.5457143,112.5457143,112.5457143,72.83714286
Missouri,MO,2016,118.9953846,118.9953846,118.9953846,118.9953846,97.38692308,97.38692308,99.14153846,99.14153846,99.14153846,99.14153846,64.53692308
Missouri,MO,2017,177.87,177.87,177.87,177.87,139.5571429,139.5571429,139.5571429,139.5571429,139.5571429,139.5571429,107.0542857
Missouri,MO,2018,140.4293333,140.4293333,140.4293333,140.4293333,108.7086667,108.7086667,108.7086667,108.7086667,108.7086667,108.7086667,95.824
Montana,MT,2008,,,,,,,,,,,
Montana,MT,2009,,,,,,,,,,,
Montana,MT,2010,,,,,,,,,,,
Montana,MT,2011,,,,,,,,,,,
Montana,MT,2012,,,,,,,,,,,
Montana,MT,2013,,,,,,,,,,,
Montana,MT,2014,,,,,,,,,,,
Montana,MT,2015,,,,,,,,,,,
Montana,MT,2016,142.3971429,142.3971429,142.3971429,142.3971429,124.5975,124.5975,124.5975,124.5975,124.5975,124.5975,124.5975
Montana,MT,2017,,,,,,,,,,,
Montana,MT,2018,,,,,,,,,,,
Nebraska,NE,2008,,,,,,,,,,,
Nebraska,NE,2009,,,,,,,,,,,
Nebraska,NE,2010,,,,,,,,,,,
Nebraska,NE,2011,,,,,,,,,,,
Nebraska,NE,2012,,,,,,,,,,,
Nebraska,NE,2013,,,,,,,,,,,
Nebraska,NE,2014,,,,,,,,,,,
Nebraska,NE,2015,,,,,,,,,,,
Nebraska,NE,2016,115.7763441,115.7763441,115.7763441,102.8215054,102.8215054,102.8215054,95.8344086,95.8344086,95.8344086,95.8344086,101.1698925
Nebraska,NE,2017,135.2989247,135.2989247,135.2989247,121.9612903,121.9612903,121.9612903,117.0795699,117.0795699,117.0795699,117.0795699,120.3096774
Nebraska,NE,2018,156.7569892,156.7569892,156.7569892,143.0021505,143.0021505,143.0021505,140.2602151,140.2602151,140.2602151,140.2602151,141.8752688
Nevada,NV,2008,167.0923529,167.0923529,147.5335294,147.5335294,147.5335294,147.5335294,129.8158824,129.8158824,129.8158824,129.8158824,121.4041176
Nevada,NV,2009,139.6170588,139.6170588,126.1311765,126.1311765,126.1311765,126.1311765,114.0288235,114.0288235,114.0288235,114.0288235,102.7647059
Nevada,NV,2010,141.9752941,141.9752941,129.2870588,129.2870588,129.2870588,129.2870588,119.6829412,119.6829412,119.6829412,119.6829412,109.8305882
Nevada,NV,2011,144.3352941,144.3352941,132.4394118,132.4394118,132.4394118,132.4394118,125.3370588,125.3370588,125.3370588,125.3370588,116.8923529
Nevada,NV,2012,157.9735294,157.9735294,143.1335294,143.1335294,143.1335294,143.1335294,127.8882353,127.8882353,127.8882353,127.8882353,116.1752941
Nevada,NV,2013,144.8664706,144.8664706,133.5688235,133.5688235,133.5688235,133.5688235,127.2741176,127.2741176,127.2741176,127.2741176,127.87
Nevada,NV,2014,142.0294118,142.0294118,140.1923529,140.1923529,140.1923529,140.1923529,139.1994118,139.1994118,123.2194118,123.2194118,120.9070588
Nevada,NV,2015,154.1633333,154.1633333,153.8106667,153.8106667,153.8106667,153.8106667,156.774,156.774,125.7286667,125.7286667,127.8606667
Nevada,NV,2016,147.9606667,147.9606667,153.4306667,153.4306667,153.4306667,153.4306667,146.0326667,146.0326667,127.576,127.576,126.8273333
Nevada,NV,2017,,,,,,,,,,,
Nevada,NV,2018,,,,,,,,,,,
New Hampshire,NH,2008,,,,,,,,,,,
New Hampshire,NH,2009,,,,,,,,,,,
New Hampshire,NH,2010,,,,,,,,,,,
New Hampshire,NH,2011,,,,,,,,,,,
New Hampshire,NH,2012,,,,,,,,,,,
New Hampshire,NH,2013,,,,,,,,,,,
New Hampshire,NH,2014,,,,,,,,,,,
New Hampshire,NH,2015,,,,,,,,,,,
New Hampshire,NH,2016,,,,,,,,,,,
New Hampshire,NH,2017,,,,,,,,,,,
New Hampshire,NH,2018,216.569,216.569,204.737,204.737,200.189,200.189,178.805,178.805,178.805,178.805,172.892
New Jersey,NJ,2008,191.4185714,191.4185714,191.4185714,177.062381,177.062381,153.1352381,153.1352381,153.1352381,153.1352381,153.1352381,95.70952381
New Jersey,NJ,2009,191.4185714,191.4185714,191.4185714,178.4647619,178.4647619,162.7061905,162.7061905,162.7061905,162.7061905,162.7061905,98.10333333
New Jersey,NJ,2010,191.4185714,191.4185714,191.4185714,179.867619,179.867619,172.2771429,172.2771429,172.2771429,172.2771429,172.2771429,100.4942857
New Jersey,NJ,2011,191.7109524,191.7109524,191.7109524,185.9352381,185.9352381,170.1404762,170.1404762,170.1404762,170.1404762,170.1404762,98.24809524
New Jersey,NJ,2012,192.002381,192.002381,192.002381,192.002381,192.002381,168.0033333,168.0033333,168.0033333,168.0033333,168.0033333,96.00142857
New Jersey,NJ,2013,200.3709524,200.3709524,200.3709524,196.7280952,196.7280952,172.1566667,172.1566667,172.1566667,172.1566667,172.1566667,112.67
New Jersey,NJ,2014,208.7395238,208.7395238,208.7395238,201.4538095,201.4538095,176.3104762,176.3104762,176.3104762,176.3104762,176.3104762,129.3380952
New Jersey,NJ,2015,217.1080952,217.1080952,217.1080952,206.1795238,206.1795238,180.4642857,180.4642857,180.4642857,180.4642857,180.4642857,146.0061905
New Jersey,NJ,2016,225.4761905,225.4761905,225.4761905,210.9047619,210.9047619,184.6190476,184.6190476,184.6190476,184.6190476,184.6190476,162.6742857
New Jersey,NJ,2017,233.8442857,233.8442857,233.8442857,215.63,215.63,188.7738095,188.7738095,188.7738095,188.7738095,188.7738095,179.342381
New Jersey,NJ,2018,242.2128571,242.2128571,242.2128571,220.3557143,220.3557143,192.927619,192.927619,192.927619,192.927619,192.927619,193.6004762
New Mexico,NM,2008,,,,,,,,,,,
New Mexico,NM,2009,,,,,,,,,,,
New Mexico,NM,2010,,,,,,,,,,,
New Mexico,NM,2011,,,,,,,,,,,
New Mexico,NM,2012,,,,,,,,,,,
New Mexico,NM,2013,,,,,,,,,,,
New Mexico,NM,2014,,,,,,,,,,,
New Mexico,NM,2015,,,,,,,,,,,
New Mexico,NM,2016,,,,,,,,,,,
New Mexico,NM,2017,,,,,,,,,,,
New Mexico,NM,2018,,,,,,,,,,,
New York,NY,2008,,,,,,,,,,,
New York,NY,2009,,,,,,,,,,,
New York,NY,2010,,,,,,,,,,,
New York,NY,2011,,,,,,,,,,,
New York,NY,2012,,,,,,,,,,,
New York,NY,2013,,,,,,,,,,,
New York,NY,2014,,,,,,,,,,,
New York,NY,2015,,,,,,,,,,,
New York,NY,2016,,,,,,,,,,,
New York,NY,2017,,,,,,,,,,,
New York,NY,2018,249.2806452,249.2806452,249.2806452,228.4048387,228.4048387,228.4048387,213.9603226,213.9603226,213.9603226,213.9603226,195.8517742
North Carolina,NC,2008,,,,,,,,,,,
North Carolina,NC,2009,,,,,,,,,,,
North Carolina,NC,2010,,,,,,,,,,,
North Carolina,NC,2011,,,,,,,,,,,
North Carolina,NC,2012,,,,,,,,,,,
North Carolina,NC,2013,,,,,,,,,,,
North Carolina,NC,2014,157.8244444,157.8244444,162.0117172,162.0117172,149.8451515,149.8451515,146.8210101,146.8210101,146.8210101,146.8210101,113.2771717
North Carolina,NC,2015,159.5948,159.5948,159.5948,159.5948,147.7303,147.7303,139.7086,139.7086,139.7086,139.7086,107.7891
North Carolina,NC,2016,161.8424242,161.8424242,157.6542424,157.6542424,146.0554545,146.0554545,133.0132323,133.0132323,133.0132323,133.0132323,102.6235354
North Carolina,NC,2017,163.8514141,163.8514141,155.4760606,155.4760606,144.1609091,144.1609091,126.1093939,126.1093939,126.1093939,126.1093939,97.29717172
North Carolina,NC,2018,165.8611111,165.8611111,153.2969697,153.2969697,142.2654545,142.2654545,119.2041414,119.2041414,119.2041414,119.2041414,91.97060606
North Dakota,ND,2008,110.8564151,110.8564151,112.9596226,112.9596226,107.6903774,107.6903774,110.9645283,110.9645283,95.56660377,95.56660377,83.48169811
North Dakota,ND,2009,113.3056604,113.3056604,113.3056604,113.3056604,108.265283,108.265283,108.265283,108.265283,97.0654717,97.0654717,72.7990566
North Dakota,ND,2010,115.754717,115.754717,113.650566,113.650566,108.8388679,108.8388679,105.5664151,105.5664151,98.56415094,98.56415094,62.11603774
North Dakota,ND,2011,118.2043396,118.2043396,113.9958491,113.9958491,109.4143396,109.4143396,102.8673585,102.8673585,100.0618868,100.0618868,51.43396226
North Dakota,ND,2012,123.4398113,123.4398113,120.2824528,120.2824528,114.5403774,114.5403774,109.6303774,109.6303774,103.8741509,103.8741509,60.67660377
North Dakota,ND,2013,128.6741509,128.6741509,126.5698113,126.5698113,119.6667925,119.6667925,116.3928302,116.3928302,107.6867925,107.6867925,69.92
North Dakota,ND,2014,133.9088679,133.9088679,132.8571698,132.8571698,124.7928302,124.7928302,123.1558491,123.1558491,111.5001887,111.5001887,79.16301887
North Dakota,ND,2015,139.1445283,139.1445283,139.1445283,139.1445283,129.9190566,129.9190566,129.9190566,129.9190566,115.3126415,115.3126415,88.40566038
North Dakota,ND,2016,144.0303774,144.0303774,140.2120755,140.2120755,135.5990566,135.5990566,127.9626415,127.9626415,120.6596226,120.6596226,76.65849057
North Dakota,ND,2017,148.9164151,148.9164151,141.2792453,141.2792453,141.2792453,141.2792453,126.0062264,126.0062264,126.0062264,126.0062264,64.91207547
North Dakota,ND,2018,153.8033962,153.8033962,142.3479245,142.3479245,146.9603774,146.9603774,124.05,124.05,131.3533962,131.3533962,56.85981132
Ohio,OH,2008,,,,,,,,,,,
Ohio,OH,2009,160.8532955,160.8532955,160.8532955,147.84875,147.84875,147.84875,136.3794318,136.3794318,136.3794318,136.3794318,86.22102273
Ohio,OH,2010,161.2268182,161.2268182,161.2268182,147.1065909,147.1065909,147.1065909,131.2826136,131.2826136,131.2826136,131.2826136,91.16977273
Ohio,OH,2011,162.3398864,162.3398864,162.3398864,146.9686364,146.9686364,146.9686364,126.1892045,126.1892045,126.1892045,126.1892045,98.69431818
Ohio,OH,2012,163.4486364,163.4486364,163.4486364,146.82625,146.82625,146.82625,121.0923864,121.0923864,121.0923864,121.0923864,106.2145455
Ohio,OH,2013,168.6852273,168.6852273,168.6852273,155.0572727,155.0572727,155.0572727,133.0215909,133.0215909,133.0215909,133.0215909,106.0467045
Ohio,OH,2014,173.9143182,173.9143182,173.9143182,163.2807955,163.2807955,163.2807955,144.9494318,144.9494318,144.9494318,144.9494318,105.8753409
Ohio,OH,2015,177.2559091,177.2559091,177.2559091,164.3863636,164.3863636,164.3863636,146.6414773,146.6414773,146.6414773,146.6414773,106.6473864
Ohio,OH,2016,180.5903409,180.5903409,180.5903409,165.4860227,165.4860227,165.4860227,148.32875,148.32875,148.32875,148.32875,107.4130682
Ohio,OH,2017,183.0242045,183.0242045,183.0242045,165.7559091,165.7559091,165.7559091,148.4577273,148.4577273,148.4577273,148.4577273,99.10568182
Ohio,OH,2018,185.4509091,185.4509091,185.4509091,166.0227273,166.0227273,166.0227273,148.5795455,148.5795455,148.5795455,148.5795455,90.79545455
Oklahoma,OK,2008,113.2015584,113.2015584,106.0383117,106.0383117,95.70038961,95.70038961,95.70038961,95.70038961,81.88766234,81.88766234,60.35415584
Oklahoma,OK,2009,120.6016883,120.6016883,111.2072727,111.2072727,100.7619481,100.7619481,100.7619481,100.7619481,87.7212987,87.7212987,63.76519481
Oklahoma,OK,2010,128.0009091,128.0009091,116.3757143,116.3757143,105.8237662,105.8237662,105.8237662,105.8237662,93.55467532,93.55467532,67.17441558
Oklahoma,OK,2011,130.3783117,130.3783117,120.1707792,120.1707792,109.3102597,109.3102597,109.3102597,109.3102597,97.37922078,97.37922078,65.3325974
Oklahoma,OK,2012,132.7563636,132.7563636,123.9649351,123.9649351,112.7963636,112.7963636,112.7963636,112.7963636,101.2028571,101.2028571,63.48987013
Oklahoma,OK,2013,138.577013,138.577013,126.9444156,126.9444156,115.5320779,115.5320779,115.5320779,115.5320779,102.8823377,102.8823377,66.35012987
Oklahoma,OK,2014,144.3976623,144.3976623,129.9248052,129.9248052,118.2681818,118.2681818,118.2681818,118.2681818,104.5627273,104.5627273,69.21012987
Oklahoma,OK,2015,145.4744156,145.4744156,132.6490909,132.6490909,119.9519481,119.9519481,119.9519481,119.9519481,106.3154545,106.3154545,72.9512987
Oklahoma,OK,2016,146.55,146.55,135.3742857,135.3742857,121.6366234,121.6366234,121.6366234,121.6366234,108.0692208,108.0692208,76.69298701
Oklahoma,OK,2017,147.6257143,147.6257143,138.1007792,138.1007792,123.3207792,123.3207792,123.3207792,123.3207792,109.8222078,109.8222078,80.4338961
Oklahoma,OK,2018,148.7019481,148.7019481,140.8254545,140.8254545,125.0048052,125.0048052,125.0048052,125.0048052,111.5757143,111.5757143,84.17519481
Oregon,OR,2008,132.4027778,132.4027778,131.415,131.415,131.415,104.2775,104.2775,104.2775,104.2775,104.2775,68.48805556
Oregon,OR,2009,142.5436111,142.5436111,136.1105556,136.1105556,136.1105556,111.5808333,111.5808333,111.5808333,111.5808333,111.5808333,61.93333333
Oregon,OR,2010,152.6852778,152.6852778,140.8033333,140.8033333,140.8033333,118.8744444,118.8744444,118.8744444,118.8744444,118.8744444,55.37638889
Oregon,OR,2011,154.4241667,154.4241667,144.4205556,144.4205556,144.4205556,119.7588889,119.7588889,119.7588889,119.7588889,119.7588889,66.51833333
Oregon,OR,2012,156.1616667,156.1616667,148.0388889,148.0388889,148.0388889,120.6375,120.6375,120.6375,120.6375,120.6375,77.66305556
Oregon,OR,2013,156.6433333,156.6433333,152.5791667,152.5791667,150.8497222,137.1511111,137.1511111,137.1511111,120.4775,120.4775,79.595
Oregon,OR,2014,157.1211111,157.1211111,157.1211111,157.1211111,153.6597222,153.6597222,153.6597222,153.6597222,120.3147222,120.3147222,81.52944444
Oregon,OR,2015,162.74,162.74,162.74,162.74,156.1405556,156.1405556,156.1405556,156.1405556,125.3663889,125.3663889,75.14222222
Oregon,OR,2016,168.3580556,168.3580556,168.3580556,168.3580556,158.6144444,158.6144444,158.6144444,158.6144444,130.4183333,130.4183333,68.75555556
Oregon,OR,2017,175.7472222,175.7472222,175.7472222,175.7472222,168.0511111,168.0511111,168.0511111,168.0511111,135.5522222,135.5522222,97.31472222
Oregon,OR,2018,183.1363889,183.1363889,183.1363889,183.1363889,177.4872222,177.4872222,177.4872222,177.4872222,140.68,140.68,125.8747222
Pennsylvania,PA,2008,150.5686567,150.5686567,144.0850746,144.0850746,138.611194,138.611194,129.4925373,129.4925373,129.4925373,129.4925373,124.8358209
Pennsylvania,PA,2009,156.1874627,156.1874627,149.1897015,149.1897015,144.5708955,144.5708955,132.6746269,132.6746269,132.6746269,132.6746269,127.4035821
Pennsylvania,PA,2010,159.5249254,159.5249254,151.5570149,151.5570149,146.011194,146.011194,136.8022388,136.8022388,136.8022388,136.8022388,130.5216418
Pennsylvania,PA,2011,161.7501493,161.7501493,154.2043284,154.2043284,148.7868657,148.7868657,139.4983582,139.4983582,139.4983582,139.4983582,132.6789552
Pennsylvania,PA,2012,163.9731343,163.9731343,156.85,156.85,151.561194,151.561194,142.1932836,142.1932836,142.1932836,142.1932836,134.8343284
Pennsylvania,PA,2013,166.3949254,166.3949254,159.1553731,159.1553731,153.6910448,153.6910448,144.1786567,144.1786567,144.1786567,144.1786567,135.0510448
Pennsylvania,PA,2014,168.8147761,168.8147761,161.4591045,161.4591045,155.8192537,155.8192537,146.1634328,146.1634328,146.1634328,146.1634328,135.2659701
Pennsylvania,PA,2015,173.6855224,173.6855224,165.8120896,165.8120896,160.0185075,160.0185075,149.8801493,149.8801493,149.8801493,149.8801493,137.9486567
Pennsylvania,PA,2016,178.5543284,178.5543284,170.1626866,170.1626866,164.2167164,164.2167164,153.5953731,153.5953731,153.5953731,153.5953731,140.6295522
Pennsylvania,PA,2017,180.8377612,180.8377612,172.5822388,172.5822388,167.1676119,167.1676119,155.8522388,155.8522388,155.8522388,155.8522388,144.5028358
Pennsylvania,PA,2018,183.119403,183.119403,174.9992537,174.9992537,170.1171642,170.1171642,158.1067164,158.1067164,158.1067164,158.1067164,148.3746269
Rhode Island,RI,2008,,,,,,,,,,,
Rhode Island,RI,2009,,,,,,,,,,,
Rhode Island,RI,2010,,,,,,,,,,,
Rhode Island,RI,2011,,,,,,,,,,,
Rhode Island,RI,2012,,,,,,,,,,,
Rhode Island,RI,2013,,,,,,,,,,,
Rhode Island,RI,2014,,,,,,,,,,,
Rhode Island,RI,2015,,,,,,,,,,,
Rhode Island,RI,2016,,,,,,,,,,,
Rhode Island,RI,2017,,,,,,,,,,,
Rhode Island,RI,2018,264.416,264.416,264.416,252.546,252.546,252.546,226.646,226.646,226.646,226.646,145.7
South Carolina,SC,2008,,,,,,,,,,,
South Carolina,SC,2009,,,,,,,,,,,
South Carolina,SC,2010,,,,,,,,,,,
South Carolina,SC,2011,,,,,,,,,,,
South Carolina,SC,2012,,,,,,,,,,,
South Carolina,SC,2013,,,,,,,,,,,
South Carolina,SC,2014,110.1902174,110.1902174,110.1902174,110.1902174,110.1902174,110.1902174,99.5923913,99.5923913,99.5923913,99.5923913,106.1413043
South Carolina,SC,2015,117.1195652,117.1195652,117.1195652,117.1195652,117.1195652,117.1195652,105.0543478,105.0543478,105.0543478,105.0543478,100
South Carolina,SC,2016,124.048913,124.048913,124.048913,124.048913,124.048913,124.048913,110.5163043,110.5163043,110.5163043,110.5163043,93.85869565
South Carolina,SC,2017,130.9782609,130.9782609,130.9782609,130.9782609,130.9782609,130.9782609,115.9782609,115.9782609,115.9782609,115.9782609,87.7173913
South Carolina,SC,2018,137.9076087,137.9076087,137.9076087,137.9076087,137.9076087,137.9076087,121.4402174,121.4402174,121.4402174,121.4402174,81.57608696
South Dakota,SD,2008,84.79719298,84.79719298,84.79719298,84.79719298,84.79719298,84.79719298,79.55385965,79.55385965,79.55385965,79.55385965,64.06122807
South Dakota,SD,2009,88.90350877,88.90350877,88.90350877,88.90350877,88.90350877,88.90350877,83.1377193,83.1377193,83.1377193,83.1377193,73.13052632
South Dakota,SD,2010,88.61787879,88.61787879,88.61787879,88.61787879,88.61787879,88.61787879,82.82833333,82.82833333,82.82833333,82.82833333,80.42015152
South Dakota,SD,2011,89.75575758,89.75575758,89.75575758,89.75575758,89.75575758,89.75575758,83.83318182,83.83318182,83.83318182,83.83318182,86.0530303
South Dakota,SD,2012,93.96924242,93.96924242,93.96924242,93.96924242,93.96924242,93.96924242,88.42727273,88.42727273,88.42727273,88.42727273,86.3830303
South Dakota,SD,2013,98.18257576,98.18257576,98.18257576,98.18257576,98.18257576,98.18257576,93.02136364,93.02136364,93.02136364,93.02136364,86.71333333
South Dakota,SD,2014,98.975,98.975,98.975,98.975,98.975,98.975,93.61409091,93.61409091,93.61409091,93.61409091,90.33333333
South Dakota,SD,2015,99.76787879,99.76787879,99.76787879,99.76787879,99.76787879,99.76787879,94.205,94.205,94.205,94.205,93.95181818
South Dakota,SD,2016,103.7986364,103.7986364,103.7986364,103.7986364,103.7986364,103.7986364,97.89545455,97.89545455,97.89545455,97.89545455,97.05909091
South Dakota,SD,2017,107.8345455,107.8345455,107.8345455,107.8345455,107.8345455,107.8345455,101.5790909,101.5790909,101.5790909,101.5790909,100.1715152
South Dakota,SD,2018,108.4548485,108.4548485,108.4548485,108.4548485,108.4548485,108.4548485,103.5971212,103.5971212,103.5971212,103.5971212,105.1571212
Tennessee,TN,2008,103.8421053,103.8421053,97.73684211,97.73684211,90.30526316,90.30526316,90.30526316,90.30526316,90.30526316,90.30526316,40.92894737
Tennessee,TN,2009,105.8526316,105.8526316,99.09473684,99.09473684,91.94736842,91.94736842,91.94736842,91.94736842,91.94736842,91.94736842,42.52631579
Tennessee,TN,2010,110.1052632,110.1052632,103.8421053,103.8421053,96.31578947,96.31578947,96.31578947,96.31578947,96.31578947,96.31578947,47.77894737
Tennessee,TN,2011,115.9473684,115.9473684,107.4,107.4,97.8,97.8,97.8,97.8,97.8,97.8,44.63621053
Tennessee,TN,2012,117.7894737,117.7894737,109.9473684,109.9473684,98.76221053,98.76221053,98.76221053,98.76221053,98.76221053,98.76221053,47.13157895
Tennessee,TN,2013,119.2210526,119.2210526,110.8,110.8,100.4322105,100.4322105,100.4322105,100.4322105,100.4322105,100.4322105,46.98947368
Tennessee,TN,2014,122.7894737,122.7894737,111.3684211,111.3684211,100.7596842,100.7596842,100.7596842,100.7596842,100.7596842,100.7596842,47.48947368
Tennessee,TN,2015,126.0421053,126.0421053,114.5789474,114.5789474,103.2105263,103.2105263,103.2105263,103.2105263,103.2105263,103.2105263,48.36578947
Tennessee,TN,2016,129.3473684,129.3473684,122.2105263,122.2105263,109.1578947,109.1578947,109.1578947,109.1578947,109.1578947,109.1578947,50.45789474
Tennessee,TN,2017,136.3684211,136.3684211,126.5105263,126.5105263,113.3421053,113.3421053,113.3421053,113.3421053,113.3421053,113.3421053,49.81052632
Tennessee,TN,2018,142.2778947,142.2778947,137.2368421,137.2368421,119.9026316,119.9026316,119.9026316,119.9026316,119.9026316,119.9026316,52.36842105
Texas,TX,2008,,,,,,,,,,,
Texas,TX,2009,104.6981102,104.6981102,104.6981102,97.10311024,97.10311024,97.10311024,91.80417323,91.80417323,91.80417323,91.80417323,88.40535433
Texas,TX,2010,109.7047244,109.7047244,109.7047244,101.4498031,101.4498031,101.4498031,95.21673228,95.21673228,95.21673228,95.21673228,90.34409449
Texas,TX,2011,114.7130315,114.7130315,114.7130315,105.7997244,105.7997244,105.7997244,98.63334646,98.63334646,98.63334646,98.63334646,92.28724409
Texas,TX,2012,119.7188976,119.7188976,119.7188976,110.1462598,110.1462598,110.1462598,102.0438976,102.0438976,102.0438976,102.0438976,94.22559055
Texas,TX,2013,125.1773622,125.1773622,125.1773622,116.4021654,116.4021654,116.4021654,109.6377953,109.6377953,109.6377953,109.6377953,102.5761811
Texas,TX,2014,120.9846457,120.9846457,120.9846457,112.6726378,112.6726378,112.6726378,107.384252,107.384252,107.384252,107.384252,102.6596457
Texas,TX,2015,124.4334646,124.4334646,124.4334646,116.0153543,116.0153543,116.0153543,110.4917323,110.4917323,110.4917323,110.4917323,106.4185039
Texas,TX,2016,127.1761811,127.1761811,127.1761811,118.7604331,118.7604331,118.7604331,113.0925197,113.0925197,113.0925197,113.0925197,108.3234252
Texas,TX,2017,136.7820866,136.7820866,136.7820866,126.2206693,126.2206693,126.2206693,117.2035433,117.1875984,117.1875984,117.1875984,110.2911417
Texas,TX,2018,142.3687008,142.3687008,142.3687008,130.7830709,130.7830709,130.7830709,120.5045276,120.5045276,120.5045276,120.5045276,114.7336614
Utah,UT,2008,115.6972414,115.6972414,115.6972414,115.6972414,94.57586207,94.57586207,94.57586207,94.57586207,86.42482759,86.42482759,95.30137931
Utah,UT,2009,121.2696552,121.2696552,121.2696552,121.2696552,99.05724138,99.05724138,99.05724138,99.05724138,90.45206897,90.45206897,86.05
Utah,UT,2010,126.8424138,126.8424138,126.8424138,126.8424138,103.5393103,103.5393103,103.5393103,103.5393103,94.47931034,94.47931034,76.79758621
